Timestamp,Algo_ms,Loop_ms,FPS,X,Y,Z,Roll,Pitch,Yaw,Mode,Gimbal_Yaw,Gimbal_Pitch
17:50:12.033,14.9,17.0,24.7,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:12.438,14.4,16.6,24.7,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:12.840,15.0,17.1,24.9,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:13.241,15.1,17.4,24.9,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:13.643,14.7,16.8,24.9,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:14.045,14.3,16.4,24.9,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:14.448,14.1,16.3,24.8,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:14.852,19.0,21.2,24.8,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:15.260,22.1,24.1,24.5,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:15.667,18.5,23.0,24.5,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:16.072,14.6,16.9,24.7,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:16.478,14.3,16.5,24.6,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:16.882,14.4,16.7,24.8,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:17.283,14.1,16.3,24.9,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:17.688,14.2,16.5,24.7,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:18.093,14.9,17.2,24.7,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:18.497,20.6,22.6,24.8,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:18.900,21.7,23.7,24.8,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:19.303,26.7,28.8,24.8,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:19.720,13.5,15.5,24.0,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:20.123,13.8,16.0,24.8,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:20.527,14.1,16.3,24.8,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:20.928,14.2,16.4,24.9,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:21.330,20.9,23.1,24.9,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:21.742,23.3,25.3,24.3,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:22.151,14.9,17.6,24.4,0.00,0.00,0.00,0.0,0.0,0.0,SEARCHING,0,0
17:50:22.556,14.6,16.8,24.7,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
